time(s)	X(pixel)	Y(pixel)
0,00000	420,00000	240,00000
0,10000	419,19223	247,49561
0,20000	421,44382	262,39078
0,30000	420,53793	277,91397
0,40000	421,53793	292,91397
0,50000	422,19223	307,49561
0,60000	421,59534	315,44241
0,70000	420,05130	331,12262
0,80000	422,36307	344,94559
0,90000	421,23483	359,62152
1,00000	424,14740	374,37045
1,10000	421,49545	382,65155
1,20000	421,31345	397,87546
1,30000	422,61200	412,23941
1,40000	421,05130	420,12262
1,50000	421,44382	426,39078
1,60000	426,62778	439,60666
