time(s)	X(pixel)	Y(pixel)
0,00000	431,14746	266,47385
0,10000	430,99994	279,22968
0,20000	430,81244	303,28369
0,30000	430,78705	328,17261
0,40000	432,17529	339,91428
0,50000	432,62592	364,34094
0,60000	433,37766	389,13153
0,70000	433,18839	400,17896
0,80000	433,25595	423,46518
0,90000	433,37766	447,13153
1,00000	434,33948	472,02017
1,10000	434,37766	496,13153
1,20000	434,72174	518,89294
1,30000	434,62592	530,34094
1,40000	435,65405	555,18060
1,50000	434,89059	566,60229
1,60000	435,82623	590,08881
1,70000	436,56775	613,08746
1,80000	436,56775	625,08746
1,90000	438,47675	647,90356
2,00000	437,70975	682,67560
2,10000	438,53021	705,75201
2,20000	439,12561	717,40234
2,30000	438,70975	739,67560
2,40000	439,25595	762,46521
2,50000	439,56775	773,08746
2,60000	441,00000	785,00000
2,70000	440,27997	808,82318
2,80000	442,83160	830,64795
2,90000	442,17261	855,21295
