time(s)	X(pixel)	Y(pixel)
0,00000	430,99939	267,93018
0,10000	429,98477	280,65137
0,20000	430,98477	304,65137
0,30000	429,99939	329,06982
0,40000	428,87735	344,22137
0,50000	429,00000	365,00000
0,60000	430,99756	388,86041
0,70000	429,53180	403,12210
0,80000	430,00000	425,00000
0,90000	430,98477	448,34863
1,00000	429,99756	472,86041
1,10000	430,92651	497,23676
1,20000	430,98477	520,65137
1,30000	431,99451	531,20935
1,40000	430,99939	554,93018
1,50000	431,82523	565,16949
1,70000	433,98477	613,65137
1,80000	432,98477	625,65137
